City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
265,Terrasini,IT,77.61,clear sky,38.146,13.0844,Florio Park Hotel
270,Alenquer,BR,77.95,overcast clouds,-1.9417,-54.7383,Detinha Hotel
272,Lorengau,PG,81.3,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
274,Dzaoudzi,YT,76.89,clear sky,-12.7887,45.2699,Le Rocher
277,Auki,SB,80.53,broken clouds,-8.7676,160.7034,Auki Motel
278,Faanui,PF,80.62,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
285,Martapura,ID,75.29,broken clouds,-3.4167,114.85,Montana Hotel Syariah
286,Virginia Beach,US,82.02,scattered clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
301,Wilmington,US,84.11,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
303,Minab,IR,89.92,broken clouds,27.1467,57.0801,Bam campground
313,Yilan,TW,84.02,overcast clouds,24.757,121.753,Dar Chen Hotel
316,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
324,Tevaitoa,PF,80.44,broken clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
326,Colonial Park,US,81.01,broken clouds,40.3006,-76.8097,Red Roof Inn Harrisburg North
331,Fredericksburg,US,80.55,clear sky,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
340,Trincomalee,LK,80.67,overcast clouds,8.5711,81.2335,Welcombe Hotel
341,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
343,Baracoa,CU,81.86,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
344,San Juan De Colon,VE,76.59,overcast clouds,8.0313,-72.2605,Hotel San Francisco de Padua C.A
349,Banfora,BF,78.62,light rain,10.6333,-4.7667,Residences David Hebié
352,Fomboni,KM,79.36,clear sky,-12.28,43.7425,Auberge les abou
355,Tabuk,PH,75.11,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
359,Safaga,EG,87.35,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
361,Lethem,GY,77.5,broken clouds,3.3803,-59.7968,Savannah Inn
364,Pimenta Bueno,BR,77.23,scattered clouds,-11.6725,-61.1936,Cristalina Palace Hotel
370,Taiyuan,CN,75.06,clear sky,37.8694,112.5603,Taiyuan Wanda Wenhua Hotel
374,Shimoda,JP,76.1,light rain,34.6667,138.95,Shimoda Tokyu Hotel
379,Whithorn,JM,83.46,light rain,18.2604,-78.0378,Sunset Heal
381,Trairi,BR,77.9,few clouds,-3.2778,-39.2689,janelas do mar
383,Hearst,CA,77.25,overcast clouds,49.6835,-83.6665,Companion
387,Mangrol,IN,84.04,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
390,Axim,GH,76.26,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
391,Kimbe,PG,76.96,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
392,Kalmunai,LK,79.95,overcast clouds,7.4167,81.8167,VS Villa
394,Xinxiang,CN,84.49,overcast clouds,35.3089,113.8672,Guoyu Holiday Inn
395,Basirpur,PK,79.07,overcast clouds,30.5832,73.829,Lugoo goods
398,Pyapon,MM,77.36,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
400,Pandan,PH,79.84,light rain,14.0453,124.1694,Bonifacio Lodge
405,Srandakan,ID,75.83,broken clouds,-7.9386,110.2506,Puri Brata
408,Dinajpur,BD,77.05,overcast clouds,25.6272,88.6386,Hotel Sahara
411,Morant Bay,JM,89.71,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
412,Moerai,PF,77.02,overcast clouds,-22.4333,-151.3333,Le Manotel
414,Monrovia,LR,78.64,light rain,6.3005,-10.7969,Sunset Inn
417,Waspan,NI,77.77,overcast clouds,14.7419,-83.9717,Hostal casa de la rose
424,Codajas,BR,79.79,overcast clouds,-3.8367,-62.0569,Atlântic Hotel
429,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
431,Dawlatabad,AF,77.07,overcast clouds,36.4141,64.9053,WASIM ASGAR KHAN
433,Padang,ID,76.77,broken clouds,-0.9492,100.3543,Mercure Padang
436,Porto Novo,BJ,80.42,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
437,Haimen,CN,78.69,overcast clouds,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
441,Kutum,SD,80.8,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
445,Kailua,US,85.98,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
446,Katsuura,JP,75.22,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
448,Acarau,BR,78.31,broken clouds,-2.8856,-40.12,castelo pizzaria
451,Tarauaca,BR,79.09,overcast clouds,-8.1614,-70.7656,Flat Temporada
452,Takoradi,GH,76.23,scattered clouds,4.8845,-1.7554,Raybow International Hotel
454,Havelock,US,82.4,broken clouds,34.8791,-76.9013,Sherwood Motel
465,Maues,BR,77.52,broken clouds,-3.3836,-57.7186,Hotel Miramar
467,Gushikawa,JP,81.99,scattered clouds,26.3544,127.8686,Kirari Guest House
468,Sorong,ID,76.57,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
471,Sancti Spiritus,CU,83.25,overcast clouds,21.9297,-79.4425,Hostal El Parque
472,Puerto Boyaca,CO,78.98,overcast clouds,5.9758,-74.5885,hotel juanes
477,Bela,IN,88.5,scattered clouds,25.9333,81.9833,Raj Bhawan
478,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
483,Key Biscayne,US,87.03,thunderstorm,25.6937,-80.1628,"The Ritz-Carlton Key Biscayne, Miami"
484,Port Antonio,JM,90.0,overcast clouds,18.18,-76.4612,The Trident Hotel
